lon,lat,t2m,tipo,distancia,acum_distancia,topo
-70.59248352050781,-14.867202758789062,10.489806175231934,1,2.795447272258378,157.04511479419358,3948.43994140625
-70.5916111111111,-14.8687666666667,11.1626373626374,0,0.19698619916855845,157.24210099336213,3948.43994140625
-70.59248352050781,-14.867202758789062,10.489806175231934,1,0.19698619916855845,157.43908719253068,3948.43994140625
-70.5916111111111,-14.8687666666667,11.1626373626374,0,0.19698619916855845,157.63607339169923,3948.43994140625
-70.59248352050781,-14.884872436523438,10.649873733520508,1,1.7742318738224172,159.41030526552166,3908.29443359375
-70.59248352050781,-14.90252685546875,10.5285062789917,1,1.941986083984375,161.35229134950603,3926.7119140625
-70.59248352050781,-14.920181274414062,10.62924861907959,1,1.941986083984375,163.2942774334904,3911.4453125
-70.59248352050781,-14.937843322753906,10.580845832824707,1,1.9428253173828125,165.23710275087322,3911.966064453125
-70.59248352050781,-14.955497741699219,9.524698257446289,1,1.941986083984375,167.1790888348576,4060.705322265625
-70.59248352050781,-14.973152160644531,9.300999641418457,1,1.941986083984375,169.12107491884197,4089.33935546875
-70.59248352050781,-14.990806579589844,9.06706714630127,1,1.941986083984375,171.06306100282634,4123.28515625
-70.59248352050781,-15.008453369140625,9.08061695098877,1,1.9411468505859375,173.00420785341228,4118.1728515625
-70.59248352050781,-15.026100158691406,9.67559814453125,1,1.9411468505859375,174.94535470399822,4043.56689453125
-70.59248352050781,-15.043754577636719,10.205476760864258,1,1.941986083984375,176.8873407879826,4011.49609375
-70.59248352050781,-15.0614013671875,10.185446739196777,1,1.9411468505859375,178.82848763856853,3982.452392578125
-70.59248352050781,-15.079048156738281,9.94636058807373,1,1.9411468505859375,180.76963448915447,4022.02197265625
-70.59248352050781,-15.096687316894531,9.932027816772461,1,1.9403076171875,182.70994210634197,4055.555908203125
-70.59248352050781,-15.114326477050781,7.3718085289001465,1,1.9403076171875,184.65024972352947,4350.216796875
-70.59248352050781,-15.131973266601562,4.629446983337402,1,1.9411468505859375,186.5913965741154,4681.8671875
-70.59248352050781,-15.149612426757812,5.175382614135742,1,1.9403076171875,188.5317041913029,4614.3056640625
-70.59248352050781,-15.167251586914062,5.693586826324463,1,1.9403076171875,190.4720118084904,4551.6240234375
-70.59248352050781,-15.184883117675781,5.536571979522705,1,1.9394683837890625,192.41148019227947,4562.4443359375
-70.59248352050781,-15.202522277832031,7.13323450088501,1,1.9403076171875,194.35178780946697,4356.03125
-70.59248352050781,-15.22015380859375,7.634551525115967,1,1.9394683837890625,196.29125619325603,4305.884765625
-70.59315,-15.2358666666667,8.72944139194139,0,1.7299685127722755,198.0212247060283,4087.30859375
-70.59248352050781,-15.237785339355469,9.603438377380371,1,0.22342459036891055,198.24464929639723,4087.30859375
-70.59315,-15.2358666666667,8.72944139194139,0,0.22342459036891055,198.46807388676615,4087.30859375
-70.59248352050781,-15.237785339355469,9.603438377380371,1,0.22342459036891055,198.69149847713507,4087.30859375
