Unnamed: 0,est,alt,lon,lat,pr,pr_EXP0,pr_EXP1,pr_EXP2,pr_EXP3,pr_EXP4,pr_EXP5,pr_EXP6,pr_EXP7,pr_EXP8,pr_EXP9,pr_EXP10
115038,HUARAYA_MOHO,3836.0,-69.48419166666666,-15.388097222222221,6.529670329670329,2.6711652278900146,2.629140853881836,2.8004021644592285,2.9201858043670654,2.889930009841919,2.7965447902679443,6.5157928466796875,4.728750705718994,2.8912878036499023,5.2676544189453125,3.4810667037963867
100059,ICHUс,3778.0,-70.54270277777778,-16.14108611111111,4.7835164835164825,2.47981333732605,2.378525495529175,1.9010971784591675,1.7301934957504272,2.6693613529205322,2.4457995891571045,4.234280109405518,4.042535305023193,3.0425806045532227,3.1606435775756836,3.587078809738159
116027,ILAVE,3874.0,-69.64038888888889,-16.059944444444444,3.274725274725274,4.84385347366333,4.762210845947266,3.960592269897461,3.237722396850586,5.03943395614624,5.012773513793945,7.112442970275879,7.369091987609863,5.662060737609863,7.203671932220459,6.139540672302246
100065,ISLA_SOTO,3832.0,-69.48897222222223,-15.562194444444444,6.293406593406592,2.947392225265503,3.098468065261841,3.496426820755005,4.186029434204102,3.368910312652588,3.2079312801361084,5.953634738922119,6.161647319793701,3.763475179672241,6.353756904602051,3.6638779640197754
116009,ISLA_SUANA,3840.0,-68.85033333333332,-16.329916666666666,6.572527472527474,4.298522472381592,4.2724690437316895,3.1352689266204834,2.988633394241333,3.3351128101348877,3.3533222675323486,5.958714485168457,4.687701225280762,5.098402976989746,5.025071144104004,3.2946572303771973
115138,JULIACA,3838.0,-70.20778333333334,-15.44415,3.4439560439560437,2.5192465782165527,2.4570205211639404,1.601473093032837,1.9984039068222046,2.078547954559326,2.5854134559631348,4.6520280838012695,4.194570541381836,4.429900646209717,4.440432548522949,4.1485395431518555
100081,LAMPA,3866.0,-70.37416666666665,-15.361083333333333,4.239560439560439,2.0435869693756104,2.382713794708252,1.9607610702514648,1.8762961626052856,2.887394428253174,2.7579989433288574,5.94230318069458,4.964615821838379,4.6057634353637695,4.966609001159668,4.663865089416504
100088,LOS_UROS,3819.0,-69.97413888888889,-15.820388888888884,4.2302325581395355,3.794184684753418,3.8309497833251953,2.8929271697998047,3.023085832595825,3.3254942893981934,3.7386579513549805,6.335833549499512,5.140768527984619,4.221028804779053,6.224154472351074,5.87050724029541
115051,MAсZO,3931.0,-70.3395,-15.799444444444443,4.1943820224719115,2.9638800621032715,3.1067609786987305,2.0565171241760254,2.3029046058654785,3.0471744537353516,2.887059450149536,5.579648971557617,4.628127098083496,3.8809654712677,4.323986530303955,4.342103004455566
116026,MAZO_CRUZ,3980.0,-69.71544444444444,-16.73888888888889,4.2775280898876415,3.1223769187927246,3.0026185512542725,2.790853500366211,3.1098389625549316,2.849593162536621,2.8706934452056885,6.221704959869385,5.795111656188965,3.4481191635131836,4.685313701629639,5.236292362213135
