Unnamed: 0,est,alt,lon,lat,pr,t2m,pr_EXP0,pr_EXP1,pr_EXP2,pr_EXP3,pr_EXP4,pr_EXP5,pr_EXP6,pr_EXP7,pr_EXP8,pr_EXP9,pr_EXP10,t2m_EXP0,t2m_EXP1,t2m_EXP2,t2m_EXP3,t2m_EXP4,t2m_EXP5,t2m_EXP6,t2m_EXP7,t2m_EXP8,t2m_EXP9,t2m_EXP10
100059,ICHUс,3778.0,-70.54270277777778,-16.14108611111111,4.7835164835164825,12.716091954022989,2.47981333732605,2.378525495529175,1.901097297668457,1.7301934957504272,2.6693613529205322,2.4457995891571045,4.234280109405518,4.042534828186035,3.0425806045532227,3.1606435775756836,3.587078809738159,9.21318244934082,9.596515655517578,9.226835250854492,9.656477928161621,9.50662899017334,9.575302124023438,9.295766830444336,9.436897277832031,9.411432266235352,9.232295989990234,9.390575408935547
116027,ILAVE,3874.0,-69.64038888888889,-16.059944444444444,3.274725274725274,11.105555555555561,4.84385347366333,4.762211799621582,3.960592269897461,3.237722396850586,5.03943395614624,5.0127739906311035,7.112442970275879,7.369091987609863,5.662060260772705,7.203671932220459,6.139541149139404,10.515941619873047,10.595182418823242,10.672443389892578,10.780969619750977,10.583211898803711,10.582795143127441,10.221266746520996,10.166299819946289,10.389525413513184,9.906594276428223,10.24866771697998
116009,ISLA_SUANA,3840.0,-68.85033333333332,-16.329916666666666,6.572527472527474,11.216483516483517,4.298522472381592,4.2724690437316895,3.1352689266204834,2.988633394241333,3.3351128101348877,3.3533222675323486,5.958714485168457,4.687701225280762,5.098402976989746,5.025071620941162,3.2946572303771973,10.776978492736816,11.026124954223633,11.032176971435547,11.22411823272705,11.30968189239502,11.36711597442627,11.022780418395996,10.960700988769531,11.037158966064453,11.045622825622559,11.000662803649902
115138,JULIACA,3838.0,-70.20778333333334,-15.44415,3.4439560439560437,11.807692307692303,2.5192465782165527,2.4570205211639404,1.601473093032837,1.9984039068222046,2.078547954559326,2.5854134559631348,4.6520280838012695,4.194570541381836,4.429900646209717,4.440432548522949,4.148539066314697,10.884095191955566,11.094785690307617,10.99203872680664,11.166939735412598,11.059968948364258,11.08939266204834,10.831693649291992,10.7806978225708,10.839463233947754,10.36561393737793,10.808849334716797
100081,LAMPA,3866.0,-70.37416666666665,-15.361083333333333,4.239560439560439,10.527472527472527,2.0435869693756104,2.382713556289673,1.9607610702514648,1.8762961626052856,2.887394428253174,2.7579989433288574,5.942302703857422,4.964615821838379,4.6057634353637695,4.966609954833984,4.663865089416504,10.756733894348145,10.8705415725708,10.847895622253418,10.948165893554688,10.787164688110352,10.830948829650879,10.456018447875977,10.325671195983887,10.492256164550781,10.077804565429688,10.447088241577148
100088,LOS_UROS,3819.0,-69.97413888888889,-15.820388888888884,4.2302325581395355,11.258139534883725,3.794184684753418,3.8309497833251953,2.8929271697998047,3.023085832595825,3.3254942893981934,3.7386579513549805,6.335833549499512,5.140768527984619,4.221028804779053,6.224154472351074,5.87050724029541,10.35267162322998,10.41161823272705,10.635276794433594,10.710063934326172,11.057971000671387,11.02562427520752,10.697463035583496,10.775487899780273,10.84865665435791,10.368314743041992,10.742609977722168
115051,MAсZO,3931.0,-70.3395,-15.799444444444443,4.1943820224719115,11.121111111111114,2.9638803005218506,3.1067609786987305,2.0565171241760254,2.3029046058654785,3.0471742153167725,2.887059450149536,5.579648971557617,4.628127098083496,3.8809654712677,4.323986530303955,4.342103004455566,10.318719863891602,10.381060600280762,10.47199535369873,10.575427055358887,10.327937126159668,10.516544342041016,10.221790313720703,10.019633293151855,10.325469017028809,9.859807014465332,10.275041580200195
116026,MAZO_CRUZ,3980.0,-69.71544444444444,-16.73888888888889,4.2775280898876415,9.79230769230769,3.1223771572113037,3.0026185512542725,2.790853500366211,3.1098389625549316,2.849593162536621,2.8706934452056885,6.221704959869385,5.795111656188965,3.4481191635131836,4.685313701629639,5.236292362213135,10.015583992004395,10.196622848510742,10.042970657348633,10.250419616699219,10.131795883178711,10.182537078857422,9.741471290588379,9.668660163879395,9.874812126159668,9.73778247833252,9.60792350769043
114042,MUсNI,3932.0,-69.95180555555554,-14.766944444444444,4.132584269662919,10.902247191011236,3.632474184036255,3.746222496032715,3.13995099067688,3.101487636566162,3.9311089515686035,3.437086343765259,7.763699054718018,5.668827056884766,4.2942914962768555,6.264845371246338,5.012607574462891,9.632853507995605,9.83825969696045,9.793098449707031,10.05198860168457,9.78625202178955,9.84819221496582,9.33022403717041,9.054980278015137,9.305439949035645,9.225532531738281,9.221563339233398
116029,PIZACOMA,3930.0,-69.36952777777778,-16.90434722222222,4.779120879120878,11.024175824175828,3.4425933361053467,3.2790639400482178,2.923252820968628,2.7318289279937744,3.229497194290161,2.882634401321411,6.293622016906738,5.350132942199707,3.5276811122894287,4.453212738037109,5.116858005523682,10.409356117248535,10.933332443237305,10.244752883911133,10.84654712677002,10.827519416809082,10.75256061553955,10.35163402557373,10.29039192199707,10.392719268798828,10.26242733001709,10.157389640808105
