lon,lat,pr,tipo,distancia,acum_distancia,topo
-69.97247222222222,-15.311666666666667,3.167032967032967,0,0.39721776756722094,72.15388098101256,3824.04296875
-69.97117614746094,-15.325927734375,2.453022003173828,1,1.5751825703132591,73.72906355132582,3825.68359375
-69.95289611816406,-15.343551635742188,2.5568506717681885,1,2.793136692499856,76.52220024382568,3820.2763671875
-69.95289611816406,-15.361175537109375,2.5284266471862793,1,1.938629150390625,78.4608293942163,3820.716796875
-69.93462371826172,-15.3787841796875,2.5269052982330322,1,2.791367619785591,81.2521970140019,3817.624267578125
-69.93462371826172,-15.396408081054688,2.5638303756713867,1,1.938629150390625,83.19082616439252,3818.020751953125
-69.93462371826172,-15.414024353027344,2.755441665649414,1,1.9377899169921875,85.1286160813847,3820.51708984375
-69.91635131835938,-15.431640625,2.8792190551757812,1,2.791950035460837,87.92056611684555,3816.791015625
-69.91635131835938,-15.449256896972656,2.8835508823394775,1,1.9377899169921875,89.85835603383774,3819.1533203125
-69.89807891845703,-15.466865539550781,3.0049538612365723,1,2.791367619785591,92.64972365362333,3818.0
-69.89807891845703,-15.484474182128906,3.239335060119629,1,1.93695068359375,94.58667433721708,3828.75390625
-69.87980651855469,-15.502082824707031,3.4352505207061768,1,2.791367619785591,97.37804195700267,3815.2333984375
-69.87980651855469,-15.519691467285156,3.940701723098755,1,1.93695068359375,99.31499264059642,3898.47265625
-69.87980651855469,-15.537300109863281,4.335224151611328,1,1.93695068359375,101.25194332419017,3959.1787109375
-69.86153411865234,-15.554901123046875,3.8556015491485596,1,2.790785334935415,104.04272865912559,3875.15966796875
-69.86153411865234,-15.572509765625,3.854328155517578,1,1.93695068359375,105.97967934271934,3869.66650390625
-69.84325408935547,-15.590110778808594,3.931666851043701,1,2.7913898236939527,108.77106916641328,3848.06201171875
-69.84325408935547,-15.607711791992188,4.216947555541992,1,1.9361114501953125,110.7071806166086,3844.4130859375
-69.84222222222222,-15.613444444444443,4.721978021978022,0,0.6407257232391559,111.34790633984775,3844.4130859375
-69.84325408935547,-15.607711791992188,4.216947555541992,1,0.6407257232391559,111.98863206308691,3844.4130859375
-69.84222222222222,-15.613444444444443,4.721978021978022,0,0.6407257232391559,112.62935778632607,3844.4130859375
-69.86153411865234,-15.625312805175781,4.127575397491455,1,2.4934050403298107,115.12276282665587,3817.166015625
-69.86153411865234,-15.642913818359375,4.319725513458252,1,1.9361114501953125,117.05887427685118,3816.7802734375
-69.87980651855469,-15.660507202148438,4.339534282684326,1,2.790203180992214,119.84907745784339,3816.921875
-69.87980651855469,-15.678108215332031,4.499309062957764,1,1.9361114501953125,121.7851889080387,3816.98974609375
-69.89807891845703,-15.695693969726562,4.894641399383545,1,2.789621158037944,124.57481006607665,3817.0
-69.91635131835938,-15.713279724121094,4.712311267852783,1,2.789621158037944,127.3644312241146,3818.042236328125
-69.91635131835938,-15.730873107910156,4.535036563873291,1,1.935272216796875,129.29970344091146,3818.224853515625
-69.93462371826172,-15.748466491699219,4.494846343994141,1,2.790203180992214,132.08990662190368,3816.24462890625
-69.93462371826172,-15.76605224609375,4.351535797119141,1,1.9344329833984375,134.02433960530212,3817.55615234375
-69.95289611816406,-15.783638000488281,4.215301990509033,1,2.789621158037944,136.81396076334005,3818.3857421875
-69.95289611816406,-15.801223754882812,4.001467704772949,1,1.9344329833984375,138.7483937467385,3818.259765625
-69.97117614746094,-15.818809509277344,3.708662748336792,1,2.7902258990097093,141.53861964574818,3816.7978515625
-69.97413888888889,-15.820388888888884,4.230232558139535,0,0.3693163256444485,141.90793597139265,3816.7978515625
-69.97117614746094,-15.818809509277344,3.708662748336792,1,0.3693163256444485,142.2772522970371,3816.7978515625
-69.97413888888889,-15.820388888888884,4.230232558139535,0,0.3693163256444485,142.64656862268157,3816.7978515625
-69.95289611816406,-15.836380004882812,4.035877704620361,1,2.924782093672145,145.57135071635372,3817.020263671875
-69.93462371826172,-15.853965759277344,4.395956993103027,1,2.789621158037944,148.36097187439165,3815.0
-69.91635131835938,-15.853965759277344,4.286459922790527,1,2.0099639892578125,150.37093586364946,3815.0
-69.89807891845703,-15.871543884277344,4.384130001068115,1,2.7890392661546097,153.15997512980408,3815.105712890625
-69.87980651855469,-15.889122009277344,4.726539134979248,1,2.7890392661546097,155.9490143959587,3818.41552734375
-69.86153411865234,-15.906692504882812,4.989208698272705,1,2.788457505424266,158.73747190138297,3816.646484375
-69.84325408935547,-15.906692504882812,5.0088934898376465,1,2.01080322265625,160.74827512403922,3818.4541015625
-69.82498168945312,-15.924263000488281,5.442160606384277,1,2.788457505424266,163.5367326294635,3831.65771484375
-69.80670928955078,-15.941841125488281,5.566953182220459,1,2.7890392661546097,166.32577189561812,3822.2099609375
-69.78843688964844,-15.95941162109375,5.694612503051758,1,2.788457505424266,169.1142294010424,3824.700439453125
-69.7701644897461,-15.976982116699219,5.602103233337402,1,2.788457505424266,171.90268690646667,3825.792724609375
-69.75189208984375,-15.976982116699219,5.34957218170166,1,2.0099639892578125,173.91265089572448,3826.6796875
-69.73361206054688,-15.994544982910156,5.097750186920166,1,2.7884809954020793,176.70113189112655,3828.8427734375
-69.71533966064453,-16.012107849121094,4.962551593780518,1,2.787875875929018,179.48900776705557,3830.62353515625
-69.69706726074219,-16.02967071533203,4.871192455291748,1,2.787875875929018,182.2768836429846,3835.87939453125
-69.67879486083984,-16.02967071533203,4.849282741546631,1,2.0099639892578125,184.2868476322424,3850.244384765625
-69.6605224609375,-16.04723358154297,5.30180025100708,1,2.787875875929018,187.07472350817142,3863.348388671875
-69.64038888888889,-16.059944444444444,3.274725274725274,0,2.619124621997243,189.69384813016865,3847.88037109375
-69.64225006103516,-16.064796447753906,5.315871715545654,1,0.5716391906299396,190.2654873207986,3847.88037109375
-69.64038888888889,-16.059944444444444,3.274725274725274,0,0.5716391906299396,190.83712651142855,3847.88037109375
