Unnamed: 0,est,alt,lon,lat,t2m,EXP0_t2m,EXP0-OBS,EXP1_t2m,EXP1-OBS,EXP5_t2m,EXP5-OBS
114042,MUсNI,3932.0,-69.95180555555554,-14.766944444444444,10.902247191011236,9.719385147094727,-1.1828620439165096,9.918294906616211,-0.9839522843950252,9.91653060913086,-0.9857165818803768
116029,PIZACOMA,3930.0,-69.36952777777778,-16.90434722222222,11.024175824175828,10.58787727355957,-0.43629855061625733,11.153520584106445,0.12934475993061767,10.967693328857422,-0.05648249531840577
114040,PROGRESO,3925.0,-70.36780555555555,-14.671694444444444,10.939560439560442,10.012016296386719,-0.9275441431737228,10.079072952270508,-0.8604874872899337,9.89345645904541,-1.0461039805150314
115046,PUCARA,3877.0,-70.36663888888889,-15.045666666666667,11.204395604395602,10.237493515014648,-0.9669020893809535,10.063505172729492,-1.1408904316661097,9.958996772766113,-1.2453988316294886
114093,PUTINA,3861.0,-69.87569444444443,-14.921,11.066483516483512,10.575289726257324,-0.4911937902261876,10.841741561889648,-0.22474195459386337,10.864052772521973,-0.20243074396153915
115140,SANTA_LUCIA,4045.0,-70.5992722222222,-15.694075,10.304545454545451,8.521211624145508,-1.7833338303999433,8.819375038146973,-1.4851704163984785,8.64144229888916,-1.663103155656291
116030,TAHUACO_-_YUNGUYO,3888.0,-69.07472222222222,-16.307833333333335,10.134883720930231,10.859232902526855,0.7243491815966241,10.880973815917969,0.7460900949877374,10.952264785766602,0.8173810648363702
115047,TARACO,3828.0,-69.97247222222222,-15.311666666666667,11.15164835164835,10.83150577545166,-0.3201425761966892,10.975894927978516,-0.1757534236698337,11.094082832336426,-0.05756551931192355
472E112A,ILAVE,3850.0,-69.62591666666665,-16.08825,10.650097547380156,10.783479690551758,0.1333821431716018,10.854902267456055,0.20480472007589867,10.86181640625,0.21171885886984398
472E4156,ILLPA,3827.0,-70.079875,-15.687255555555556,11.915488569723475,10.861665725708008,-1.0538228440154676,10.970636367797852,-0.9448522019256238,11.143007278442383,-0.7724812912810926
472CF72C,JULIACA,3826.0,-70.17122222222223,-15.471055555555555,10.538598901098904,11.43462085723877,0.8960219561398652,11.52270793914795,0.9841090380490449,12.077181816101074,1.53858291500217
472CB426,LARAQUERI,3928.0,-70.04588888888888,-16.135916666666667,9.27271062271062,10.89781665802002,1.6251060353093987,10.730926513671875,1.4582158909612541,10.596298217773438,1.3235875950628166
472E37C6,PALCA,4073.0,-70.59315,-15.235866666666665,8.729441391941387,9.273831367492676,0.5443899755512884,9.603438377380371,0.8739969854389837,9.393263816833496,0.6638224248921087
472DD33A,PUNO,3812.0,-70.01208333333334,-15.82625,10.977854753941706,10.209615707397461,-0.7682390465442452,9.984014511108398,-0.9938402428333077,11.032200813293457,0.05434605935175085
7boli0,Chijipina,3832.0,-68.69388900000007,-15.996943999999989,12.123255813953488,9.728856086730957,-2.394399727222531,9.815573692321777,-2.3076821216317107,9.829485893249512,-2.2937699207039763
7boli1,Belen,3828.0,-68.71207200000008,-16.019295000000042,10.460465116279067,9.66502857208252,-0.7954365441965479,9.789361953735352,-0.6711031625437158,9.813096046447754,-0.6473690698313135
